CountryCode,Latitude,Longitude
AD,42.5,1.516667
AE,24.46667,54.36667
AF,34.51667,69.18333
AG,17.11667,-61.85
AI,18.21667,-63.05
AL,41.31667,19.81667
AM,40.16667,44.5
AO,-8.83333,13.21667
AQ,0,0
AR,-34.5833,-58.6667
AS,-14.2667,-170.7
AT,48.2,16.36667
AU,-35.2667,149.1333
AW,12.51667,-70.0333
AX,60.11667,19.9
AZ,40.38333,49.86667
BA,43.86667,18.41667
BB,13.1,-59.6167
BD,23.71667,90.4
BE,50.83333,4.333333
BF,12.36667,-1.51667
BG,42.68333,23.31667
BH,26.23333,50.56667
BI,-3.36667,29.35
BJ,6.483333,2.616667
BL,17.88333,-62.85
BM,32.28333,-64.7833
BN,4.883333,114.9333
BO,-16.5,-68.15
BQ,12.1833,-68.25
BR,-15.7833,-47.9167
BS,25.08333,-77.35
BT,27.46667,89.63333
BV,-54.43,3.38
BW,-24.6333,25.9
BY,53.9,27.56667
BZ,17.25,-88.7667
CA,45.41667,-75.7
CC,-12.1667,96.83333
CD,-4.31667,15.3
CF,4.366667,18.58333
CG,-4.25,15.28333
CH,46.91667,7.466667
CI,6.816667,-5.26667
CK,-21.2,-159.767
CL,-33.45,-70.6667
CM,3.866667,11.51667
CN,39.91667,116.3833
CO,4.6,-74.0833
CR,9.933333,-84.0833
CU,23.11667,-82.35
CV,14.91667,-23.5167
CW,12.1,-68.9167
CX,-10.4167,105.7167
CY,35.16667,33.36667
CZ,50.08333,14.46667
DE,52.51667,13.4
DJ,11.58333,43.15
DK,55.66667,12.58333
DM,15.3,-61.4
DO,18.46667,-69.9
DZ,36.75,3.05
EC,-0.21667,-78.5
EE,59.43333,24.71667
EG,30.05,31.25
EH,27.15361,-13.2033
ER,15.33333,38.93333
ES,40.4,-3.68333
ET,9.033333,38.7
FI,60.16667,24.93333
FJ,-18.1333,178.4167
FK,-51.7,-57.85
FM,6.916667,158.15
FO,62,-6.76667
FR,48.86667,2.333333
GA,0.383333,9.45
GB,51.5,-0.08333
GD,12.05,-61.75
GE,41.68333,44.83333
GF,4,-53
GG,49.45,-2.53333
GH,5.55,-0.21667
GI,36.13333,-5.35
GL,64.18333,-51.75
GM,13.45,-16.5667
GN,9.5,-13.7
GP,16.25,-61.5833
GQ,3.75,8.783333
GR,37.98333,23.73333
GS,-54.2833,-36.5
GT,14.61667,-90.5167
GU,13.46667,144.7333
GW,11.85,-15.5833
GY,6.8,-58.15
HK,0,0
HM,0,0
HN,14.1,-87.2167
HR,45.8,16
HT,18.53333,-72.3333
HU,47.5,19.08333
ID,-6.16667,106.8167
IE,53.31667,-6.23333
IL,31.76667,35.23333
IM,54.15,-4.48333
IN,28.6,77.2
IO,-7.3,72.4
IQ,33.33333,44.4
IR,35.7,51.41667
IS,64.15,-21.95
IT,41.9,12.48333
JE,49.18333,-2.1
JM,18,-76.8
JO,31.95,35.93333
JP,35.68333,139.75
KE,-1.28333,36.81667
KG,42.86667,74.6
KH,11.55,104.9167
KI,-0.88333,169.5333
KM,-11.7,43.23333
KN,17.3,-62.7167
KP,39.01667,125.75
KR,37.55,126.9833
KW,29.36667,47.96667
KY,19.3,-81.3833
KZ,51.16667,71.41667
LA,17.96667,102.6
LB,33.86667,35.5
LC,14,-61
LI,47.13333,9.516667
LK,6.916667,79.83333
LR,6.3,-10.8
LS,-29.3167,27.48333
LT,54.68333,25.31667
LU,49.6,6.116667
LV,56.95,24.1
LY,32.88333,13.16667
MA,34.01667,-6.81667
MC,43.73333,7.416667
MD,47,28.85
ME,42.43333,19.26667
MF,18.0731,-63.0822
MG,-18.9167,47.51667
MH,7.1,171.3833
MK,42,21.43333
ML,12.65,-8
MM,16.8,96.15
MN,47.91667,106.9167
MO,0,0
MP,15.2,145.75
MQ,14.6667,61
MR,18.06667,-15.9667
MS,16.7,-62.2167
MT,35.88333,14.5
MU,-20.15,57.48333
MV,4.166667,73.5
MW,-13.9667,33.78333
MX,19.43333,-99.1333
MY,3.166667,101.7
MZ,-25.95,32.58333
NA,-22.5667,17.08333
NC,-22.2667,166.45
NE,13.51667,2.116667
NF,-29.05,167.9667
NG,9.083333,7.533333
NI,12.13333,-86.25
NL,52.35,4.916667
NO,59.91667,10.75
NP,27.71667,85.31667
NR,-0.5477,166.9209
NU,-19.0167,-169.917
NZ,-41.3,174.7833
OM,23.61667,58.58333
PA,8.966667,-79.5333
PE,-12.05,-77.05
PF,-17.5333,-149.567
PG,-9.45,147.1833
PH,14.6,120.9667
PK,33.68333,73.05
PL,52.25,21
PM,46.76667,-56.1833
PN,-25.0667,-130.083
PR,18.46667,-66.1167
PS,31.76667,35.23333
PT,38.71667,-9.13333
PW,7.483333,134.6333
PY,-25.2667,-57.6667
QA,25.28333,51.53333
RE,-21.1144,55.5325
RO,44.43333,26.1
RS,44.83333,20.5
RU,55.75,37.6
RW,-1.95,30.05
SA,24.65,46.7
SB,-9.43333,159.95
SC,-4.61667,55.45
SD,15.6,32.53333
SE,59.33333,18.05
SG,1.283333,103.85
SH,-15.9333,-5.71667
SI,46.05,14.51667
SJ,78.21667,15.63333
SK,48.15,17.11667
SL,8.483333,-13.2333
SM,43.93333,12.41667
SN,14.73333,-17.6333
SO,2.066667,45.33333
SR,5.833333,-55.1667
SS,4.85,31.61667
ST,0.333333,6.733333
SV,13.7,-89.2
SX,18.01667,-63.0333
SY,33.5,36.3
SZ,-26.3167,31.13333
TC,21.46667,-71.1333
TD,12.1,15.03333
TF,-49.35,70.21667
TG,6.116667,1.216667
TH,13.75,100.5167
TJ,38.55,68.76667
TK,-9.16667,-171.833
TL,-8.58333,125.6
TM,37.95,58.38333
TN,36.8,10.18333
TO,-21.1333,-175.2
TR,39.93333,32.86667
TT,10.65,-61.5167
TV,-8.51667,179.2167
TW,25.03333,121.5167
TZ,-6.8,39.28333
UA,50.43333,30.51667
UG,0.316667,32.55
UM,38.883333,-77
US,38.883333,-77
UY,-34.85,-56.1667
UZ,41.31667,69.25
VA,41.9,12.45
VC,13.13333,-61.2167
VE,10.48333,-66.8667
VG,18.41667,-64.6167
VI,18.35,-64.9333
VN,21.03333,105.85
VU,-17.7333,168.3167
WF,-13.95,-171.933
WS,-13.8167,-171.767
YE,15.35,44.2
YT,-12.8431,45.1383
ZA,-25.7,28.21667
ZM,-15.4167,28.28333
ZW,-17.8167,31.03333
